Value,Disaggregation combinations using this value,Number of indicators
Santa María Ixcatlán,1,1
Santa María Jacatepec,1,1
Santa María Jalapa del Marqués,1,1
Santa María Jaltianguis,1,1
Santa María la Asunción,1,1
Santa María Lachixío,1,1
Santa María Mixtequilla,1,1
Santa María Nativitas,1,1
Santa María Nduayaco,1,1
Santa María Ozolotepec,1,1
Santa María Petapa,1,1
Santa María Peñoles,1,1
Santa María Pápalo,1,1
Santa María Quiegolani,1,1
Santa María Sola,1,1
Santa María Tataltepec,1,1
Santa María Tecomavaca,1,1
Santa María Temaxcalapa,1,1
Santa María Temaxcaltepec,1,1
Santa María Teopoxco,1,1
Santa María Tepantlali,1,1
Santa María Texcatitlán,1,1
Santa María Tlahuitoltepec,1,1
Santa María Tlalixtac,1,1
Santa María Tonameca,1,1
Santa María Totolapilla,1,1
Santa María Xadani,1,1
Santa María Yalina,1,1
Santa María Yavesía,1,1
Santa María Yolotepec,1,1
Santa María Yosoyúa,1,1
Santa María Yucuhiti,1,1
Santa María Zacatepec,1,1
Santa María Zaniza,1,1
Santa María Zoquitlán,1,1
Santiago Amoltepec,1,1
Santiago Apoala,1,1
Santiago Apóstol,1,1
Santiago Astata,1,1
Santiago Atitlán,1,1
Santiago Ayuquililla,1,1
Santiago Cacaloxtepec,1,1
Santiago Camotlán,1,1
Santiago Chazumba,1,1
Santiago Choápam,1,1
Santiago Comaltepec,1,1
Santiago del Río,1,1
Santiago Huajolotitlán,1,1
Santiago Huauclilla,1,1
Santiago Ihuitlán Plumas,1,1
Santiago Ixcuintepec,1,1
Santiago Ixtayutla,1,1
Santiago Jamiltepec,1,1
Santiago Jocotepec,1,1
Santiago Juxtlahuaca,1,1
Santiago Lachiguiri,1,1
Santiago Lalopa,1,1
Santiago Laollaga,1,1
Santiago Laxopa,1,1
Santiago Llano Grande,1,1
Santiago Matatlán,1,1
Santiago Miltepec,1,1
Santiago Minas,1,1
Santiago Nacaltepec,1,1
Santiago Nejapilla,1,1
Santiago Niltepec,1,1
Santiago Nundiche,1,1
Santiago Nuyoó,1,1
Santiago Pinotepa Nacional,1,1
Santiago Suchilquitongo,1,1
Santiago Tamazola,1,1
Santiago Tapextla,1,1
Santiago Tenango,1,1
Santiago Tepetlapa,1,1
Santiago Tetepec,1,1
Santiago Texcalcingo,1,1
Santiago Textitlán,1,1
Santiago Tilantongo,1,1
Santiago Tillo,1,1
Santiago Tlazoyaltepec,1,1
Santiago Xanica,1,1
Santiago Xiacuí,1,1
Santiago Yaitepec,1,1
Santiago Yaveo,1,1
Santiago Yolomécatl,1,1
Santiago Yosondúa,1,1
Santiago Yucuyachi,1,1
Santiago Zacatepec,1,1
Santiago Zoochila,1,1
Santo Domingo Albarradas,1,1
Santo Domingo Armenta,1,1
Santo Domingo Chihuitán,1,1
Santo Domingo de Morelos,1,1
Santo Domingo Ingenio,1,1
Santo Domingo Ixcatlán,1,1
Santo Domingo Nuxaá,1,1
Santo Domingo Ozolotepec,1,1
Santo Domingo Petapa,1,1
Santo Domingo Roayaga,1,1
Santo Domingo Tehuantepec,1,1
Santo Domingo Teojomulco,1,1
Santo Domingo Tepuxtepec,1,1
Santo Domingo Tlatayápam,1,1
Santo Domingo Tomaltepec,1,1
Santo Domingo Tonaltepec,1,1
Santo Domingo Tonalá,1,1
Santo Domingo Xagacía,1,1
Santo Domingo Yanhuitlán,1,1
Santo Domingo Yodohino,1,1
Santo Domingo Zanatepec,1,1
Santo Tomás Jalieza,1,1
Santo Tomás Mazaltepec,1,1
Santo Tomás Ocotepec,1,1
Santo Tomás Tamazulapan,1,1
Santos Reyes Nopala,1,1
Santos Reyes Pápalo,1,1
Santos Reyes Tepejillo,1,1
Santos Reyes Yucuná,1,1
Silacayoápam,1,1
Sitio de Xitlapehua,1,1
Soledad Etla,1,1
Tamazulápam del Espíritu Santo,1,1
Tanetze de Zaragoza,1,1
Taniche,1,1
Tataltepec de Valdés,1,1
Teococuilco de Marcos Pérez,1,1
Teotitlán de Flores Magón,1,1
Teotitlán del Valle,1,1
Teotongo,1,1
Tepelmeme Villa de Morelos,1,1
Tlacolula de Matamoros,1,1
Tlacotepec Plumas,1,1
Tlalixtac de Cabrera,1,1
Totontepec Villa de Morelos,1,1
Trinidad Zaachila,1,1
Unión Hidalgo,1,1
Valerio Trujano,1,1
Villa de Chilapa de Díaz,1,1
Villa de Etla,1,1
Villa de Tamazulápam del Progreso,1,1
Villa de Tututepec de Melchor Ocampo,1,1
Villa de Zaachila,1,1
Villa Díaz Ordaz,1,1
Villa Hidalgo,1,1
Villa Sola de Vega,1,1
Villa Talea de Castro,1,1
Villa Tejúpam de la Unión,1,1
Yaxe,1,1
Yogana,1,1
Yutanduchi de Guerrero,1,1
Zapotitlán Lagunas,1,1
Zapotitlán Palmas,1,1
Zimatlán de Álvarez,1,1
Ánimas Trujano,1,1
